data_comp,model,item_feat,user_feat,layer_size_list,embedding_size,learning_rate,epochs,Acc@1,Acc@5,Acc@10,Acc@50,Acc@100,MeanAcc,RMSE,Coverage,Personalisation,Novelty,ColdProb,ColdAcc@10,ColdAcc@50,ColdAcc@100,Training Time,Evaluation Time
(batch size 2048 / 4096)
UsersAll,2tnn_results,No,No,[32],32,0.2,5,0.3205,2.1053,4.4667,20.2336,33.9338,12.212,0.1455,68.95,99.0,6.34,0.0,0.0,0.0,0.0,131.7498,13.7656
UsersAll,2tnn_results,Yes,No,[16],32,0.01,9,0.3555,2.459,4.8995,19.0381,30.7528,11.501,0.1773,39.06,97.0,5.97,0.16,0.0476,0.2382,0.667,370.6049,15.4687
UsersAll,2tnn_results,Yes,No,[16],32,0.1,8,0.3242,2.2306,4.8479,21.7624,36.0575,13.0445,0.1423,74.91,99.0,6.37,0.0,0.0,0.0,0.0476,330.2823,16.2812
UsersAll,2tnn_results,Yes,No,[16],32,0.2,5,0.3463,2.4313,4.9806,21.3442,34.7829,12.7771,0.1448,70.11,99.0,6.31,0.0,0.0,0.0,0.1429,208.2966,15.4687
UsersAll,2tnn_results,Yes,No,[32],32,0.01,8,0.3979,2.5234,5.0395,19.2813,31.0549,11.6594,0.1764,42.41,98.0,5.93,0.0325,0.0,0.1667,0.5479,331.3922,15.5
UsersAll,2tnn_results,Yes,No,[32],32,0.1,5,0.3702,2.5161,5.3287,22.0829,35.772,13.214,0.1547,69.7,99.0,6.25,0.0008,0.0,0.0476,0.3573,210.2341,15.5156
UsersAll,2tnn_results,Yes,No,[32],32,0.2,5,0.2671,2.0869,4.4888,20.2907,33.7367,12.174,0.144,70.86,99.0,6.31,0.0,0.0,0.0238,0.3097,211.1239,15.5
UsersAll,2tnn_results,No,Yes,[16],32,0.01,20,0.4347,2.5105,4.778,19.7712,32.6537,12.0296,0.1644,51.03,98.0,6.17,0.0,0.0,0.0,0.0,516.9904,18.2969
UsersAll,2tnn_results,No,Yes,[16],32,0.1,5,0.4034,2.7039,5.4797,22.1178,35.5879,13.2586,0.1505,66.5,99.0,6.25,0.0,0.0,0.0,0.0,131.7655,19.8125
UsersAll,2tnn_results,No,Yes,[16],32,0.2,6,0.3813,2.3798,4.9308,21.569,35.1237,12.8769,0.1405,72.76,99.0,6.35,0.0,0.0,0.0,0.0,157.7342,18.3594
UsersAll,2tnn_results,No,Yes,[32],32,0.01,6,0.1897,1.4938,3.2234,16.3379,29.1687,10.0827,0.1803,28.14,96.0,6.08,0.0,0.0,0.0,0.0,157.4842,18.3593
UsersAll,2tnn_results,No,Yes,[32],32,0.1,5,0.3721,2.5566,5.3784,22.0073,35.5234,13.1676,0.1547,67.05,99.0,6.23,0.0,0.0,0.0,0.0,132.2342,18.3906
UsersAll,2tnn_results,No,Yes,[32],32,0.2,5,0.2781,2.1569,4.463,20.4306,33.9743,12.2606,0.1448,70.61,99.0,6.36,0.0,0.0,0.0,0.0,132.8436,18.4219
UsersAll,2tnn_results,Yes,Yes,[16],32,0.01,20,0.4457,2.7132,5.5718,21.3185,33.9099,12.7918,0.1599,61.64,99.0,6.08,0.0,0.0,0.0,0.0953,823.1308,20.4531
UsersAll,2tnn_results,Yes,Yes,[16],32,0.1,6,0.3352,2.4534,5.2108,22.1952,36.0225,13.2434,0.1487,71.91,99.0,6.31,0.0,0.0,0.0,0.1906,249.8278,20.0
UsersAll,2tnn_results,Yes,Yes,[16],32,0.2,5,0.3444,2.3006,4.9437,21.4879,35.1734,12.85,0.1441,70.76,99.0,6.34,0.0,0.0,0.0,0.0476,208.9066,20.0325
UsersAll,2tnn_results,Yes,Yes,[32],32,0.01,17,0.5213,2.9563,5.8002,21.5487,34.1069,12.9867,0.1666,63.04,99.0,6.09,0.0017,0.0,0.0476,0.2144,703.4928,20.1406
